"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Sarfartoq","Not Available","Greenland",66.5,-51.25,"No","Measured resources",3,10,2,"Pyrochlore","Nd","Light","Magnets, Batteries","No","14.1 million tonnes averaging 1.51% TREO, using a cutoff of 0.8%","Pyrochlore, Magnetite, Apatite, U, Zircon, Ilmenite, Pyrite","Dolomite, Phlogopite, Arfvedsonite, Aegirine, Biotite, Calcite, Olivine, Garnet","598-604 Ma (various)","Carbonatite","Carbonatite (rauhaugite and sovite); Fenite","Not Available","Nb resource; P-REE occurrence; Environmental restraints hinder commercial interest.","Notholt and others, 1989a; Moller, 1989a; Woolley, 1987; Location from Secher, 1989","pink_blank"
"Sarnu","Rajasthan","India",24.7,71.91667,"Yes","Inferred resources",5,9999,2,"Carbocernaite","Ce","Light","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining","No","Less than or equal to 5.5% REO","Strontianite","Calcite","Not Available","Carbonatite","Carbonatite dikes","Not Available","Occurrence; Dikes ~10 cm wide.","Wall and Mariano, 1996; Location estimated from http://www.ias.ac.in/jessci/april2005/esb1580.pdf","wht_blank"
"Saulia","Not Available","Congo (Zaire)",-2.91667,25.75,"No","Proved reserves",1,0,2,"Eu-Monazite","Eu, La, Ce, Pr, Nd, Sm, Tb","Heavy/Light","Phosphors, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Sn","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Small producer (1987); Has produced monazite.","de Kun, 1987","grn_circle"
"Schevchenko","Not Available","Kazakhstan",44.51667,50.2667,"Yes","Proved reserves",1,0,2,"Not Available","Eu","Heavy","Phosphors","Yes","Not Available","U, P","Not Available","Not Available","Phosphorite","Not Available","Not Available","Byproduct producer of Eu (1995); Uraniferous phosphorite deposit. Eu produced as a coproduct of uranium production. Lat/Long for Fort-Shevchenko, Kazakhstan","Will and others, 1995","grn_circle"
"Scrub Oaks","New Jersey","United States of America",40.58333,-74.55,"Yes","Inferred resources",5,9999,2,"Synchysite, Xenotime, Bastnasite, Chevkinite, Apatite","Ce, Nd, Y, Tb, Yb, Eu, Gd, Dy, Er, Tm, Lu, La, Sm","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics, Lasers, Silicon photovoltaic cells, Nuclear industry","Yes","Not Available","Magnetite, Hematite, U, Th, Zircon, Ilmenite, Pyrite, Leucoxene, Chalcopyrite, Bornite","Quartz, Albite-oligoclase","Not Available","Hydrothermal FE-oxide","Metamorphic rocks","Not Available","Byproduct; Magnetite-hematite orebody in metamorphic rocks.","Moller, 1989a; Klemic and others, 1959; Location from http://www.mindat.org/loc-4599.html","wht_blank"
"Se Petiba","Rio de Janeiro","Brazil",-22.5333,-44.7667,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Quaternary","Placer, Shoreline","Beach sand","Not Available","Occurrence","Leonardos, 1974; Location from USGS, 2000, MRDS database","wht_blank"
"Sebl'yavr Carbonatite Complex (Seblyavr)","Not Available","Russia",68.71667,32.1333,"No","Inferred resources",5,9999,2,"Ancylite, Lueshite, Burbankite, Bastnasite, Cerite, Monazite, Huanghoite, Rhabdophane, Cordylite","Ce, La, Y, Eu, Gd, Dy, Er, Tm, Lu","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets, Lasers, Nuclear industry","No","Not Available","Apatite, Magnetite, Barite, Strontianite, Pyrite, Galena, Sphalerite, Pyrochlore, Zircon, Titanite, Ti-Magnetite, Zirconolite, Baddelelyite, Vermiculite","Calcite, Forsterite, Ankerite, Phlogopite, Actinolite, Quartz, Chlorite","383-388 Ma (K-Ar, Phlogopite, Carbonatite)","Carbonatite with residual enrichment","Gneis, Pyroxenites, Phoscorite","Not Available","Occurrence; Carbonatite veins.","Kogarko and others, 1995; Belolipetskii and Voloshin, 1996; British Sulphur Corporation, 1987","wht_blank"
"Seligdar","Siberia","Russia",58.4,125.3,"No","Indicated resources",4,15,2,"Apatite, Monazite, Allanite","Ce, La, Nd, Sm, Gd, Pr, Tb","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","300 Mt @ 6-8% P2O5","Martite, Zircon, Rutile, Tourmaline, Topaz, Pyrite, Chalcopyrite, Galena, Magnesite, Titanite","Dolomite, Calcite, Quartz, Phlogopite, Serpentine","Late Proterozoic","Alkalic Igneous","Apatite rock, Syenite porphyry","Not Available","P resource; Potassic alkaline igneous complex. Unclear if deposit high-temperature apatite-bearing carbonatite or phosphate mobilized from surrounding country rocks.","Moller, 1989a; Kogarko and others, 1995","red_blank"
"Serra (Jacareipe)","Espirito Santo","Brazil",-20.1667,-40.3333,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.0436 Mt @ 0.80% Monazite","Ilmenite, Zircon, Rutile","Quartz","Late Tertiary - Holocene","Placer, Shoreline","Dune and beach sand","Not Available","Placers associated with veins, stockwork in gneiss. Estimated location on shoreline.","Anstett, 1986; Overstreet, 1967; Azevedo Branco, 1984; Jackson and Christiansen, 1993","orange_blank"
"Serra Negra","Minas Gerais","Brazil",-18.91667,-46.8333,"No","Indicated resources",4,7,1,"Apatite","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","Yes","200 Mt @ 27.7% Ti2-- Ti concentrates contain >3% REE","Anatase, Th, U, Pyrochlore","Not Available","Cretaceous","Carbonatite with residual enrichment","Weathered carbonatite, Peridotite, Dunite, Shonkinite, Jacupirangite","Not Available","Ti resource w/ potential byproduct REE; High LREE/HREE ratio.","Castor, 1994; Mariano, 1989; Azevedo Branco, 1984; Ulbrich and Gomes, 1981; Location from de Souza Rodrigues and Amorim dos Santos Lima, 1984","orange_blank"
"Shallow Lake","Labrador","Canada",55,-61,"Yes","Inferred resources",5,9999,1,"Eudialyte","Ce, La, Y, Nd, Pr, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Not Available","Not Available","Not Available","Alkalic Igneous","Syenite of Red Wine Complex","Not Available","Occurrence?; Same as Red Wine?","Castor, 1994; Location from http://www.threegold.ca/documents/1_RareEarths_FLX_02.pdf","wht_blank"
"Shartolgoi","Uvs","Mongolia",49.05,92.75,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Zr, Nb, Ta","Not Available","Not Available","Alkalic Igneous","Alkaline granites","Not Available","Occurrence","ESCAP, 1999","wht_blank"
"Sheep Creek","Montana","United States of America",45.5,-114.333,"No","Probable reserves",2,7,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Th, Nb","Not Available","Not Available","Metamorphic","Carbonate rocks, Gneiss, Schist","Not Available","Past small producer","Crowley, 1960; Location from USGS, 2000, MRDS database","orange_circle"
"Shengtieling","Liaoning","China",42.2833,123.8333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","2% REO, 34% Fe, 1-3% P2O5","Barite, Magnetite","Not Available","Archean","Metamorphic","Migmatized gneiss","Not Available","Occurrence; Lat/Long for Yinzhou, China","Wu and others, 1996","wht_blank"
"Shilkhali","Not Available","Bangladesh",21.05,92.18333,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","2.757 Mt @ 0.14% Monazite (1983)","Ilmenite, Zircon, Rutile, Leucoxene, Magnetite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain","ESCAP and ABMRGG, 1988; Location Approximate Lat/Long from Figure 1: http://www.eastwestcenter.org/fileadmin/stored/pdfs/makingconservationwork10teknaf.pdf","orange_blank"
"Shuitai","Guangxi/Shanglin","China",22.61667,112.4667,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; Lat/Long for Shuitai, China","Wen Lu, 1998","wht_blank"
"Shvanidzorskii","Not Available","Armenia",39,46.38333,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Th, U, Pb, Pyrochlore, Fluorite, Ilmenite, Apatite, Titanite, Zircon, Baddelelyite","Biotite, Oligoclase, Nepheline, Aegirine, Sodalite, Cancrinite, Calcite, Tourmaline","37-40 Ma (various)","Alkalic Igneous","Peralkaline syenite, Nepheline syenite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"Sierra de Tamaulipas","Tamaulipas","Mexico",23.2,-98.4,"No","Inferred resources",5,9999,1,"Eudialyte, Monazite, Britholite, Allanite","Ce, La, Y, Nd, Pr, Gd, Sm, Tb","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","1.3-3.0% REO","Apatite, Aenigmatite, Lavenite, Magnetite, Zircon, Barite, Sphalerite, Rutile, Ilmenite, Pyrite, Pyriteh, Nb, Titanite","Feldspar, Aegirine, Riebeckite, Arfvedsonite, Hedenbergite, Biotite, Sodaliteic Amphibole, Nepheline, Minor quartz, Epidote, Calcite, Chlorite, Sericite, Cancrinite, Analcime","28.0 plus or minus 0.8 Ma (K-Ar, Nephelinite)","Alkalic Igneous","Nepheline Syenite, Ijolite, Urtite, Juvite, Gabbro, Diorite","Not Available","Occurrence; Veins in outcrop of alkaline rocks with area approximately equal to 9 km2. Area has undergone fenitization (alkaline metasomatism). Most veins <2 m wide.","Woolley, 1987; Gomez-Caballero, 1990; Elias-Herrera and others, 1990","wht_blank"
"Signal district","Arizona","United States of America",34.5333,-113.55,"No","Inferred resources",5,9999,2,"Euxenite, Samarskite","Yb, Y, Ce","Heavy/Light","Lasers, Silicon photovoltaic cells, Phosphors, Ceramics, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","Not Available","Nb, Ta","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Not Available","Occurrence","Parker, 1963; Location from USGS, 2000, MRDS database","wht_blank"
"Siilinjarvi","Kuopio","Finland",63.0833,27.6667,"No","Inferred resources",5,9999,2,"Apatite","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","0.4% REO","Zircon, Sulfides, Fe oxides","Phlogopite, Calcite, Dolomite","Late Archean-- 2580 (U-Pb)","Carbonatite","carbonatite; glimmerite, syenite; diabase; fenite; dioritic dykes","Kemira Group","P, LIME, PHLOG producer; Apatite contains 0.4% REE.","Isokangas, 1978; Neary and Highley, 1984; Location from USGS, 2001, MASMILS database","wht_blank"
"Silica Mine","Tennessee","United States of America",36.0333,-88.1833,"No","Probable reserves",2,7,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","26.7 Mt @ 0.013% Monazite or 0.0079% REO (1989)","Quartz, Ilmenite, Rutile, Leucoxene, Zircon","Quartz","Cretaceous","Placer, Alluvial","Sand","Not Available","Producer, but does not recover REO; Heavy Minerals stockpiled from past production of silica sand.","Anstett, 1986; Jackson and Christiansen, 1993; Roskill, 1988","orange_circle"
"Singkep","Sumatra- Singkep Island (Pulau Singkep)","Indonesia",-0.5,104.41667,"No","Probable reserves",2,7,2,"Monazite, Xenotime, Allanite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Not Available","Cassiterite, Ilmenite, Pyrite, Marcasite, Hematite, Rutile, Zircon, Tourmaline","Not Available","Not Available","Placer, Shoreline","Beach sand","Not Available","Past producer of by-product monazite; Tin producer.","Hedrick and Templeton, 1991; Moller, 1989a; Overstreet, 1967; ESCAP and ABMRGG, 1988","orange_circle"
"Sin-Krasom","Phang-nga","Thailand",8.55,98.41667,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.02% Monazite (1971)","Cassiterite, Ilmenite","Quartz","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Lat/Long for middle of Phang-nga, Thailand","ESCAP and ABMRGG, 1988","wht_blank"
"Sinoe County","Not Available","Liberia",5.333,-8.667,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Zircon, Ilmenite, Rutile, Chromite","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence, uncertain; General location for county.","Roskill, 1988; Location from NIMA, 2001","wht_blank"
"Slupsk","Not Available","Poland",54.4667,17.01667,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Zircon, Garnet","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; On Baltic Sea. Lat/Long for Slupsk, Poland","Roskill, 1988","wht_blank"
"Smoky Canyon","Idaho","United States of America",42.71667,-111.1333,"No","Probable reserves",2,7,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","35.5 Mt @ 0.158% Monazite (1989)","Collophane, Vanadinite, Uraninite, Pyrite","Clay","Permian","Phosphorite","Mudstone","Not Available","Byproduct producer?; P mine.","Jackson and Christiansen, 1993","orange_circle"
"Snowbird","Montana","United States of America",46.7833,-104.7833,"Yes","Inferred resources",5,9999,2,"Parisite, Xenotime","Ce, La, Nd, Y, Tb, Yb","Light","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Not Available","Fluorite, Quartz","Not Available","Not Available","Other-F Deposits","Not Available","Not Available","Occurrence; Hydrothermal fluorite and quartz-bearing carbonate veins.","Metz and others, 1985","wht_blank"
"Sokli","Lappi","Finland",67.75,29.25,"No","Inferred resources",5,9999,2,"Apatite, Rhabdophane","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","Not Available","Apatite, Magnetite, Pyrochlore, Zircon, Carbonate-Fluorapatite, Baddelelyite, Sulfides, Ti, Zn, Sr","Goethite, Calcite, Tremolite, Phlogopite, Serpentine, Clinohumite","334-392 Ma; Holocene","Carbonatite with residual enrichment","Carbonatite, Weathered carbonatite","Not Available","P resource; REE status uncertain; REE content of the apatite is similar to that of the Khibina complex (Isokangas, 1978).","Isokangas, 1978; Vartiainen, 1989; Location from USGS, 2000, MASMILS database","wht_blank"
"Sokolo","Not Available","Kenya",-0.46667,34.3833,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Fluorite, Apatite","Biotite, Aegirine","12.7 plus or minus 0.6 Ma (K-Ar, Biotite, sovite)","Carbonatite","Carbonatite, Carbonatitic breccia, Agglomerate","Not Available","Occurrence, uncertain; Part of Wasaki carbonatite complex. Location estimated","Woolley, 2001","wht_blank"
"Soledad","California","United States of America",36.4333,-121.333,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Apatite, Magnetite, Zircon","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; In Los Angeles County. Lat/Long for Soledad, CA","Roskill, 1988","wht_blank"
"Songwe Scarp","Not Available","Tanzania",-9,33.2667,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Apatite, Pyrite, Magnetite, Barite, Galena, Rutile, Sr, Nb, Th, U","Ankerite, Quartz","Early to Middle Cretaceous","Carbonatite","Carbonatite, K-feldspar rock","Not Available","Occurrence, uncertain","Woolley, 2001","wht_blank"
"Songwe Syenite (includes Ilomba and Ulindi intrusions)","Not Available","Malawi",-9.55,33.26667,"No","Inferred resources",5,9999,1,"Bastnasite, Eudialyte","Y, Eu, Gd, Dy, Er, Tm, Lu, Ce, La, Nd, Pr","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining","No","Not Available","Magnetite, Ilmenite, Pyrochlore, Apatite, Zircon, Garnet","Not Available","Not Available","Alkalic Igneous","Syenite","Not Available","Occurrence, uncertain; Central location for large outcrop area.","Woolley, 2001","wht_blank"
"Soroy","Not Available","Norway",70.6011,22.88861,"Yes","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","P, Ba, Sr","Not Available","Not Available","Carbonatite","Not Available","Not Available","Occurrence, uncertain","USGS unpublished files; Location from Figure 2 http://www.ngu.no/FileArchive/102/Bulletin446_11-18.pdf","wht_blank"
"Soun-Miyang","Not Available","South Korea",36.91667,127.333,"No","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.025 Mt Monazite @ grade of 0.07% Monazite (1968)","Zircon","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; 40 km NW of Chongju. Deposit is inland and believed to be a river placer.","ESCAP and ABMRGG, 1988","red_blank"
"South Ham Tam","Binh Thuan","Vietnam",10.81667,107.76667,"Yes","Inferred resources",5,9999,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Not Available","Ilmenite, Zircon","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; Lat/Long for Ham Tan, Vietnam","O'Driscoll, 1996; ESCAP, 1990","wht_blank"
"South Platte District","Colorado","United States of America",39,-105,"Yes","Inferred resources",5,9999,2,"Fluorite","La, Ce, Pr","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","F, Nb","Not Available","1010 Ma","Other Igneous-Affiliated (including Pegmatites and Veins.)","Pikes peak batholith- quartz monzonite","Not Available","Occurrence, uncertain","Levasseur, 1997; Moller, 1989a; Moller, 1989b; Location from Fig. 1 http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V66-48C8GMP-5G-1&_cdi=5806&_user=209810&_pii=0016703787900615&_origin=search&_coverDate=03%2F31%2F1987&_sk=999489996&view=c&wchp=dGLbVzW-zSkWA&md5=30fb77406b5c97e888a429d86b025927&ie=/sdarticle.pdf","wht_blank"
"Southern Malayan Batu Gajah Mine","Perak","Malaysia",4.4667,101.033,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Producer; Lat/Long for Batu Gajah, Malaysia","J. Hedrick, 2002, written commun.","grn_circle"
"Springer (Lavergne)","Ontario","Canada",46.45,-79.95,"No","Inferred resources",5,9999,1,"Bastnasite","Y, Eu, Gd, Dy, Er, Tm, Lu","Heavy","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry","No","Not Available","Fluorite, Ti, Pyrite","Aegirine","Not Available","Carbonatite","Not Available","Not Available","Occurrence","Woolley, 1987","wht_blank"
"Srednetatarskii (Zaangarskii)","Not Available","Russia",58.4,93.58333,"No","Inferred resources",5,9999,2,"Eudialyte","Ce, La, Y, Nd, Pr, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Astrophyllite, Zircon, Fluorite, Lavenite, Titanite, Apatite","Nepheline microcline, Aegirine","660-675 Ma (various)","Alkalic Igneous","Ijolite, Foyaite, Syenite","Not Available","Occurrence; REE minerals in pegmatites.","Kogarko and others, 1995","wht_blank"
"Srednevorogovskii","Enisei","Russia",61.25,90.0333,"No","Inferred resources",5,9999,2,"Loparite, Monazite, Allanite, Euxenite","Ce, La, Pr, Nd, Sm, Tb, Yb","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Lasers, Silicon photovoltaic cells","No","Not Available","Apatite, Fluorite, Garnet, Rutile, Titanite, Zircon, Ilmenorutile, Pyrochlore, Tourmaline, Cassiterite, Chalcopyrite, Pyrite, Pyriteh, Molybdenite, Tourmaline, Cassiterite","Quartz, Biotite, Arfvedsonite, Riebeckite, Albite, Microcline","526-567 Ma (K-Ar, Normarkite & Syenite)","Alkalic Igneous","Nordmarkite, Peralkaline granite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"St. Honore","Quebec","Canada",48.55,-71.0667,"No","Indicated resources",4,7,1,"Bastnasite, Pyrochlore, Parisite, Monazite","Y, Eu, Gd, Dy, Er, Tm, Lu, Nd, Ce, La, Pr, Sm, Tb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds","No","16 Mt @ 0.0088% REO; as much as 4.5% LREE","Pyrochlore, Apatite, Pyrite, Mo, Titanite, Barite, Sphalerite, Chalcopyrite, Pyrrhotite","Dolomite, Ankerite, Calcite, Melanite, Monticellite, Nepheline, Cancrinite, Phlogopite","Late Proterozoic-- 629-656 Ma (various)","Carbonatite","Carbonatite, Syenite, Nepheline syenite, Ijolite","Soquem","Nb producer; Potential REE resource; REE range from 0.1-1.7%. Complex is 8 km x 6.5 km. Carbonatite core is surrounded by syenite and other alkaline rocks.","Castor, 1994; Notholt and others, 1989a; Harben and Kuzvart, 1996; Singer, 1998; Woolley, 1987; Pell, 1996; Wall and Mariano, 1996; British Sulphur Corporation, 1987","orange_blank"
"Steenkampskraal (Steentampskraal)","Cape Province","South Africa",-30.91667,18.6667,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Reserves-- >0.2 Mt @ 12.5% REO","Ti Magnetite","Not Available","Not Available","Metamorphic","Gneiss","Rare Earth Extraction Co. (1997)","Active producer?; Monazite-apatite veins in gneiss. Approximately 20,000 t of Monazite remained in 1986. In 1996, restartup planned for 1998, mine life was estimated at 10 years.","Harben and Kuzvart, 1996; Castor, 1994; de Kun, 1987; Hedrick, 1998; von Backstrom, 1976; Location from http://www.gwmg.ca/html/projects/Steenkampskraal_Mine/index.cfm","grn_circle"
"Stjernoy","Not Available","Norway",70.3,22.5,"Yes","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","P, Ba, Sr","Not Available","Not Available","Carbonatite","Alkaline intrusions, Carbonatites, Ultramafics","Not Available","Producer of nepheline syenite","Olerud, 1993; Location from Figure 1 http://www.ajsonline.org/cgi/reprint/268/3/264.pdf","wht_blank"
"Stockton (Stockton Bight)","New South Wales","Australia",-32.8333,151.85,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Zircon, Rutile, Ilmenite, Th","Quartz","Holocene","Placer, Shoreline","Dune and beach sand","Mineral Deposits Ltd.","Current Producer but no monazite production recently; Marine placer. Dredge operation. Feeds Hawks Nest plant.","Hedrick and Templeton, 1991; Lishmund and others, 1999; Griffiths, 1992; Towner, 1992","ltblu_circle"
"Strange Lake (Lac Brisson)","Quebec, Labrador","Canada",56.3,-64.11667,"No","Indicated resources",4,7,1,"Gadolinite, Bastnasite, Kainosite, Pyrochlore, Monazite, Allanite, Apatite, Astrophyllite","Ho, Y, Gd, Dy, Eu, Er, Tm, Lu, Ce, La, Pr, Nd, Sm, Tb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining","No","52. Mt @ 0.54% REE, 0.31% Y2O3, 2.9% ZrO2 (1983); 55. Mt @ 0.38% Y, 2.99% ZrO, 0.29% Nb2O5, 0.076% BeO, unspecified REO; 1.3% REO and 0.66% Y","Gittinsite, Apatite, Zircon, Nb, Be, Fluorite, Narsarsukite, Elpidite, Thorite, Hematite, Armstrongite, Leifite, Titanite, Galena, Astrophyllite, Aenigmatite","Aegirine, Arfvedsonite, Albite, Quartz, k-Feldspar","1271 plus or minus 30 Ma (K-Ar, Amphibole, Granite)","Alkalic Igneous","Pegmatite in peralkaline granite","Midland Exploration Inc. & Japan Oil, Gas and Metals National Corporation","Potential resource; Discovered in 1979. 250 km NE of Schefferville. Be deposit. Complex only partially exposed. Peralkaline granite complex about 6 km in diameter. Mineralization in roof zone of magma chamber.","Anstett, 1986; Castor, 1994; Jackson and Christiansen, 1993; Mariano, 1983b; Mariano, 1989; Miller, 1996; Roskill, 1994; Hedrick, 1997; Laval, 1992; Roskill, 1988; Howse and Wardle, 2001; Location from Woolley, 1987","orange_blank"
